,Predicted_Close
2025-05-06,8982.605
2025-05-07,8985.208
2025-05-08,8985.094
2025-05-09,8984.069
2025-05-10,8982.726
2025-05-11,8981.283
2025-05-12,8979.818
2025-05-13,8978.358
2025-05-14,8976.91
2025-05-15,8975.477
2025-05-16,8974.057
2025-05-17,8972.65
2025-05-18,8971.257
2025-05-19,8969.876
2025-05-20,8968.507
2025-05-21,8967.149
2025-05-22,8965.803
2025-05-23,8964.467
2025-05-24,8963.142
2025-05-25,8961.828
2025-05-26,8960.524
2025-05-27,8959.23
2025-05-28,8957.948
2025-05-29,8956.675
2025-05-30,8955.412
2025-05-31,8954.159
2025-06-01,8952.916
2025-06-02,8951.683
2025-06-03,8950.459
2025-06-04,8949.245
